experience_level,employment_type,salary_in_usd,company_location,company_size,job_category
Entry-level,Freelance,30000,United Kingdom,M,Data Science and Research
Executive,Full-time,230000,United States,M,BI and Visualization
Executive,Full-time,176900,United States,M,BI and Visualization
Senior,Full-time,171210,Canada,M,Data Architecture and Modeling
Senior,Full-time,92190,Canada,M,Data Architecture and Modeling
Mid-level,Full-time,57753,United Kingdom,M,Data Science and Research
Mid-level,Full-time,47850,United Kingdom,M,Data Science and Research
Entry-level,Full-time,50000,United States,M,Data Analysis
Entry-level,Full-time,40000,United States,M,Data Analysis
Senior,Full-time,276000,United States,M,Data Engineering
Senior,Full-time,148000,United States,M,Data Engineering
Senior,Full-time,234000,United States,M,Data Science and Research
Senior,Full-time,146000,United States,M,Data Science and Research
Entry-level,Full-time,192300,United States,M,BI and Visualization
Entry-level,Full-time,120200,United States,M,BI and Visualization
Entry-level,Full-time,132500,United States,M,Leadership and Management
Entry-level,Full-time,111500,United States,M,Leadership and Management
Entry-level,Full-time,234000,United States,M,Data Engineering
Entry-level,Full-time,146000,United States,M,Data Engineering
Senior,Full-time,322000,United States,M,Data Science and Research
Senior,Full-time,168000,United States,M,Data Science and Research
Mid-level,Full-time,152000,Canada,M,Data Science and Research
Mid-level,Full-time,98000,Canada,M,Data Science and Research
Senior,Full-time,138000,United States,M,Data Science and Research
Senior,Full-time,86000,United States,M,Data Science and Research
Senior,Full-time,268700,United States,M,Data Science and Research
Senior,Full-time,130300,United States,M,Data Science and Research
Senior,Full-time,75000,United Kingdom,M,BI and Visualization
Senior,Full-time,50000,United Kingdom,M,BI and Visualization
Senior,Full-time,115000,United States,M,Data Analysis
Senior,Full-time,105000,United States,M,Data Analysis
Senior,Full-time,100000,United Kingdom,M,Data Science and Research
Senior,Full-time,87500,United Kingdom,M,Data Science and Research
Senior,Full-time,156476,United States,M,BI and Visualization
Senior,Full-time,104981,United States,M,BI and Visualization
Mid-level,Full-time,146000,United States,M,Data Engineering
Mid-level,Full-time,110000,United States,M,Data Engineering
Senior,Full-time,297000,United States,M,Data Science and Research
Senior,Full-time,138000,United States,M,Data Science and Research
Senior,Full-time,190000,United States,M,Data Quality and Operations
Senior,Full-time,25000,United States,M,Data Quality and Operations
Mid-level,Full-time,160480,United States,M,Machine Learning and AI
Mid-level,Full-time,109920,United States,M,Machine Learning and AI
Senior,Full-time,224000,United States,M,Data Engineering
Senior,Full-time,150000,United States,M,Data Engineering
Entry-level,Full-time,84000,United States,M,Data Analysis
Entry-level,Full-time,75800,United States,M,Data Analysis
Mid-level,Full-time,146125,United States,M,Cloud and Database
Mid-level,Full-time,82000,United States,M,Cloud and Database
Mid-level,Full-time,207600,United States,M,BI and Visualization
Mid-level,Full-time,138400,United States,M,BI and Visualization
Entry-level,Full-time,94600,United States,M,Data Analysis
Entry-level,Full-time,75700,United States,M,Data Analysis
Senior,Full-time,331292,United States,M,Data Science and Research
Senior,Full-time,244868,United States,M,Data Science and Research
Senior,Full-time,190000,United States,M,Data Science and Research
Senior,Full-time,155000,United States,M,Data Science and Research
Mid-level,Full-time,168000,United States,M,Data Engineering
Mid-level,Full-time,158000,United States,M,Data Engineering
Executive,Full-time,243000,United States,M,Leadership and Management
Executive,Full-time,163000,United States,M,Leadership and Management
Senior,Full-time,190000,United States,M,Data Science and Research
Senior,Full-time,155000,United States,M,Data Science and Research
Senior,Full-time,170000,United States,M,Data Science and Research
Senior,Full-time,125333,Lithuania,M,Machine Learning and AI
Senior,Full-time,81333,Lithuania,M,Machine Learning and AI
Senior,Full-time,192500,United States,M,BI and Visualization
Senior,Full-time,134900,United States,M,BI and Visualization
Senior,Full-time,227000,United States,M,Data Science and Research
